episode,epsilon,avg_reward,wr_random,wr_greedy,wr_heuristic,wr_fast_minimax,loss,mean_q,grad_norm,mean_td_error,beta
1,0.9995,-1.000,,0.000,,,,,,,
100,0.9512,-0.670,0.385,0.121,0.139,,0.0009758216328918934,-0.08851362019777298,0.017732925713062286,0.04378849267959595,0.402058
200,0.9048,-0.540,0.444,0.169,0.153,,0.0005880275857634842,0.049947597086429596,0.01782257854938507,0.04236067458987236,0.41023600000000005
300,0.8607,-0.520,0.440,0.211,0.153,,0.0007415652507916093,0.19095897674560547,0.015637580305337906,0.05023125559091568,0.418432
400,0.8187,-0.480,0.460,0.230,0.153,,0.000597766658756882,0.29001402854919434,0.013051195070147514,0.0476803183555603,0.42671200000000004
500,0.7788,-0.610,0.481,0.217,0.146,,0.0006219937931746244,0.37199029326438904,0.010923788882791996,0.05682823061943054,0.43487200000000004
600,0.7408,-0.430,0.500,0.232,0.154,,0.0014452780596911907,0.5920248031616211,0.027762869372963905,0.05716890096664429,0.44321200000000005
700,0.7046,-0.470,0.510,0.230,0.162,,0.0012741286773234606,0.6541814208030701,0.024188779294490814,0.06678884476423264,0.451456
800,0.6703,-0.430,0.527,0.251,0.169,0.000,0.0025639263913035393,0.5544778108596802,0.02254108153283596,0.07889705896377563,0.459616
900,0.6376,-0.650,0.508,0.260,0.174,0.029,0.0009465402108617127,0.6850355267524719,0.01747666485607624,0.07538769394159317,0.46786000000000005
1000,0.6065,-0.460,0.500,0.276,0.182,0.042,0.001848988700658083,0.6227356195449829,0.021156825125217438,0.0838254988193512,0.47593
1100,0.5769,-0.580,0.504,0.285,0.177,0.062,0.0013780328445136547,0.6497901678085327,0.020827675238251686,0.07762507349252701,0.484132
1200,0.5487,-0.410,0.523,0.295,0.178,0.066,0.0014127487083896995,0.6149935722351074,0.020180225372314453,0.09212268888950348,0.49246
1300,0.5220,-0.450,0.539,0.294,0.185,0.066,0.0011359555646777153,0.7109535336494446,0.018458183854818344,0.06917285919189453,0.500668
1400,0.4965,-0.520,0.533,0.299,0.184,0.072,0.0030632875859737396,0.5893305540084839,0.03129193186759949,0.09868507087230682,0.508912
1500,0.4723,-0.500,0.543,0.304,0.189,0.071,0.0030143577605485916,0.6404132843017578,0.033268362283706665,0.09019661694765091,0.517162
1600,0.4492,-0.490,0.562,0.306,0.186,0.071,0.002382934093475342,0.6319133043289185,0.03577283024787903,0.08492721617221832,0.525454
1700,0.4273,-0.350,0.564,0.323,0.190,0.070,0.003936981316655874,0.8490111231803894,0.027863893657922745,0.10267546772956848,0.533764
1800,0.4065,-0.410,0.570,0.327,0.192,0.074,0.0023810286074876785,0.6490676403045654,0.025809863582253456,0.10692992806434631,0.5419
1900,0.3866,-0.490,0.567,0.329,0.196,0.071,0.0017540011322125793,0.6564698219299316,0.023782409727573395,0.09816080331802368,0.550138
2000,0.3678,-0.410,0.576,0.340,0.195,0.072,0.0038985235150903463,0.6798015236854553,0.042308270931243896,0.10606984794139862,0.558382
2100,0.3498,-0.380,0.575,0.344,0.199,0.077,0.0015954348491504788,0.7147894501686096,0.022883784025907516,0.09098771959543228,0.566572
2200,0.3328,-0.390,0.577,0.348,0.204,0.077,0.0027364580892026424,0.6602739095687866,0.027780188247561455,0.10300178825855255,0.574792
2300,0.3165,-0.200,0.583,0.352,0.214,0.082,0.0022115486208349466,0.7061798572540283,0.030559200793504715,0.11195331811904907,0.582904
2400,0.3011,-0.330,0.587,0.352,0.219,0.085,0.0025194890331476927,0.520420491695404,0.02756083570420742,0.10898463428020477,0.5911120000000001
2500,0.2864,-0.320,0.595,0.357,0.225,0.083,0.0024325400590896606,0.6105439066886902,0.021926987916231155,0.11751717329025269,0.599458
2600,0.2724,-0.410,0.600,0.354,0.226,0.091,0.002427732339128852,0.5634319186210632,0.0339699387550354,0.09756796061992645,0.607672
2700,0.2592,-0.450,0.603,0.355,0.230,0.092,0.002145826816558838,0.5530598163604736,0.027818311005830765,0.1190999448299408,0.6158980000000001
2800,0.2465,-0.630,0.609,0.353,0.231,0.089,0.003017562674358487,0.6776198148727417,0.030522217974066734,0.11649784445762634,0.624142
